what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385798
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385799
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385801
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385801
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385802
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385807
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385808
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385808
opened,editor,org.python.pydev,1.6.4.2011010200,"org.python.pydev.editor.PythonEditor",1295415385810
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385812
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385813
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385813
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385816
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385817
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385819
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385822
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385823
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385824
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385826
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385828
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385828
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385833
closed,editor,org.python.pydev,1.6.4.2011010200,"org.python.pydev.editor.PythonEditor",1295415385833
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385834
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385834
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385837
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385837
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385838
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385840
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385840
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385841
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385844
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385845
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385847
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385849
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385850
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385851
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385853
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385856
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385857
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385860
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385871
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385872
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385879
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385880
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385881
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385883
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385885
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385886
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385888
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385890
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385891
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385894
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385895
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385896
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385903
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385904
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385905
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385907
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385910
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385911
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385913
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385914
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385915
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385919
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385927
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385928
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385930
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385931
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385932
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385945
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385946
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385946
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385951
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385951
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385952
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385954
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385954
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385955
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385957
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385958
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385958
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385960
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385960
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385961
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385963
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385964
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385964
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385967
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385971
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385972
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385974
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385976
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385977
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385978
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385990
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385991
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385993
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385994
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385994
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385996
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385997
